id;beschreibung;bild;bildrechte;ects;module_abkürzung;module_name;module_typ;oberkategorie;prüfungsart;regelstudienzeitsieben;regelstudienzeitzwölf;verfügbarkeit;vertiefung
1;\N;mathe1.jpg;\N;10;MA1;Mathematik 1;Pflichtmodule;Mathematik;schriftliche Klausur;1;1;Wintersemester;\N
2;\N;info1.jpg;\N;6;INF1;Informatik 1;Pflichtmodule;Informatik;schriftliche Klauur;1;3;Wintersemester;\N
3;\N;photo1.jpg;Michael M. Schuff;5;PHO1;Phototechnik 1;Pflichtmodule;Phototechnik;schriftliche Klausur;1;3;Wintersemester;\N
4;\N;elektronik.jgp;\N;5;ELE;Elektronik;Pflichtmodule;Elektronik;schriftliche Klausur;1;1;Wintersemester;\N
5;\N;visuelle_und_auditive_wahrnehmung.jpg;\N;3;AVW;Visuelle und auditive Wahrnehmung;Pflichtmodule;Rest;wöchentliche Tests;1;1;Wintersemester;\N
6;\N;platzhalter1.png;\N;1;SMM;Selbstmanagement im Studium;Pflichtmodule;Rest;schriftliche Abgaben;1;1;Wintersemester;\N
7;\N;mathe2.jpg;\N;10;MA2;Mathematik 2;Pflichtmodule;Mathematik;schriftliche Klausur;2;2;Sommersemester;\N
8;\N;info2.jpg;\N;6;INF2;Informatik 2;Pflichtmodule;Informatik;schriftliche Klauur;2;4;Sommersemester;\N
9;\N;photo2.jpg;Michael M. Schuff;5;PHO2;Phototechnik 2;Pflichtmodule;Phototechnik;schriftliche Klausur;2;4;Sommersemester;\N
10;\N;platzhalter2.png;\N;5;EM1;Elektronische Medien 1;Pflichtmodule;Elektronik;schriftliche Klausur;2;2;Sommersemester;\N
11;\N;grundlagen_der_gestaltung_von_medien1.jpg;Michael M. Schuff;4;GGM1;Grundlagen der Gestaltung von Medien 1;Pflichtmodule;Mediengestaltung;Abgaben;2;4;Sommersemester;\N
12;\N;platzhalter3.png;Michael M. Schuff;7;SIGA;Signaltheorie und Angewandte Mathematik;Pflichtmodule;Mathematik;schriftliche Klausur;3;5;Wintersemester;\N
13;\N;info3.jpg;Michael M. Schuff;7;INF3;Informatik 3;Pflichtmodule;Informatik;schriftliche Klauur;3;7;Wintersemester;\N
14;\N;photo3.jpg;Michael M. Schuff;6;PHO3;Phototechnik 3;Pflichtmodule;Phototechnik;schriftliche Klausur;3;5;Wintersemester;\N
15;\N;grundlagen_der_gestaltung_von_medien2.jpg;\N;5;EM2;Elektronische Medien 2;Pflichtmodule;Elektronik;schriftliche Klausur;3;3;Wintersemester;\N
16;\N;platzhalter1.png;Michael M. Schuff;5;GGM2;Grundlagen der Gestaltung von Medien 2;Pflichtmodule;Mediengestaltung;Abgabe;3;5;Wintersemester;\N
17;\N;platzhalter2.png;\N;5;MEG;Medienethik und Gesellschaft;Pflichtmodule;Geisteswissenschaft;Abgabe;4;6;Sommersemester;\N
18;\N;platzhalter3.png;\N;2;IDP;Interdisziplinäres Projekt;Pflichtmodule;Geisteswissenschaft;Abgabe;4;6;Sommersemester;\N
19;\N;recht.jpg;\N;3;REC;Medienrecht;Pflichtmodule;Recht;schriftliche Klausur;4;9;Sommersemester;\N
20;\N;bildverarbeitung.jpg;\N;5;BV1;Bildverarbeitung;Vertiefungsmodule;Bildverarbeitung;mündliche Prüfung;4;\N;Sommersemester;Bildverarbeitung
21;\N;webengineering1.jpg;Michael M. Schuff;5;WEB1;Webengineering 1;Vertiefungsmodule;Webengineering;schriftliche Klausur;4;\N;Sommersemester;Webengineering
22;\N;computergrafik.jpg;Michael M. Schuff;5;CG;Computergrafik;Vertiefungsmodule;Interaktive Computergrafik;schriftliche Klausur;4;\N;Sommersemester;Interaktive Computergrafik
23;\N;gestaltung.jpg;Michael M. Schuff;5;GM1;Vertiefende Methoden und Theorien der Gestaltung;Vertiefungsmodule;Gestaltung von Medien;Abgabe;4;\N;Sommersemester;Gestaltung von Medien
24;\N;bildsenortechnik.jpg;Michael M. Schuff;5;KAT1;Bildsensortechnik;Vertiefungsmodule;Kameratechnik;schriftliche Klausur;4;\N;Sommersemester;Kameratechnik
25;\N;displaytechnik.jpg;Michael M. Schuff;5;DIS;Displaytechnik;Vertiefungsmodule;Mediendistribution und -wiedergabe;schriftliche Klausur;4;\N;Sommersemester;Mediendistribution und -wiedergabe
