id;beschreibung;bild;ects;module_abkürzung;module_name;module_typ;oberkategorie;prüfungsart;regelstudienzeitsieben;regelstudienzeitzwölf;verfügbarkeit;vertiefung;bildrechte
1;"Die Studierenden lernen mathematische Notationen und Symbole kennen, sie lernen vorgegebene mathematische Argumentationen zu verstehen und zu bewerten und können selbstständig logische Schlüsse ziehen.

Die mathematischen Grundlagen zu folgenden Gebieten werden vermittelt: Aussagen, Mengen, natürliche Zahlen, reelle Zahlen, Funktionen Elementare Funktionen: Algebraische Funktionen, Transzendente Funktionen Konvergenz und Divergenz von Folgen, Grenzwert, Stetigkeit, Differentiation und Intergration von reellen Funktionen und Reihen.

Die Studierenden lösen Problemstellungen zu den vermittelten Kenntnissen, und verstehen und kommunizieren mathematische Aussagen";mathe1.jpg;10;MA1;Mathematik 1;Pflichtfach;Mathematik;schriftliche Klausur;1;1;Wintersemester;\N;\N
2;"Das Modul vermittelt folgende Kenntnisse und Fertigkeiten:

Beschreiben informationstechnischer Grundlagen
Einordnen von Programmierparadigmen
Erfassen der Funktionsweise von Quelltexten Dritter
Erstellen von Programmen
Entwurf und Modellierung von Softwaresystemen
Anwenden von Programmierkonzepten
Entscheiden, welche Programmierkonstrukte zur Lösung einer Problemstellung geeignet sind
Entwickeln von Programmen zur Lösung von konkreten Problemstellungen
Abstrahieren von Problembeschreibungen in Algorithmen
Überprüfen von Programmen auf Fehler
Die Kompetenzen werden zunächst über eine Vorlesung durch den Dozenten vermittelt und danach in praktischen Übungen von den Studierenden vertieft. Die sichere Anwendung einer Programmiersprache ist grundlegende Voraussetzung für die Entwicklug medientechnischer Systeme  und erlaubt die Bewertung bestehender Systeme";info1.jpg;6;INF1;Informatik 1;Pflichtfach;Informatik;schriftliche Klauur;1;3;Wintersemester;\N;\N
3;"Das Modul vermittelt die Grundlagen der Physik des Lichts inkl. Reflexion und Absorption, sowie der geometrischen Optik und der optischen Bildgestaltung. Die Studierenden lernen die Phänomene zu verstehen und anschaulich zu erklären und formelmäßig mathematisch umzusetzen. Neben der Berechnung werden auch durch die Konstruktion von Strahlengängen die Besonderheiten optischer Systeme verstanden und analysiert.

Durch Vorlesung und Übung werden die theoretischen Kenntnisse vermittelt und in Zusammenhang zur Bildentstehung in der Digitalfotografie gebracht. Die Übung analysiert beispielhafte Anordnungen und Vorgänge, modelliert diese als physikalische Formeln oder Skizzen und berechnet bzw. konstruiert gegebene Fragestellungen.

Sowohl die formelmäßige Modellierung und Berechnung als auch die graphische Darstellung und Diskussion technischer Zusammenhänge sind Basiskompetenzen im Ingenieurberuf. Zur erfolgreichen Zusammenarbeit in Teams werden ihre Darstellung und Visualisierung gefordert. Die Grundlagen der fotografischen Optik sind ein wesentlicher Bestandteil medientechnischer Systeme.";photo1.jpg;5;PHO1;Phototechnik 1;Pflichtfach;Phototechnik;schriftliche Klausur;1;3;Wintersemester;\N;Michael M. Schuff
4;"Studierende lernen grundlegende Zusammenhänge der Elektrotechnik zu erklären und Berechnungen zu Gleich- und Wechselstromnetzwerken durchzuführen.

In der Vorlesung werden die theoretischen Grundlagen und Kenntnisse aus den relevanten Bereichen der Elektrotechnik und Elektronik vermittelt. In der Übung werden Aufgaben zu allen in der Vorlesung behandelten Themen bearbeitet .

Medientechnologische Systeme basieren immer auf der Elektronik, um diese Systeme verstehen und entwickeln zu können müssen die Grundlagen der Elektronik bekannt sein.";elektronik.jgp;5;ELE;Elektronik;Pflichtfach;Elektronik;schriftliche Klausur;1;1;Wintersemester;\N;\N
5;"Durch das Modul lernen die Studierenden grundlegende Phänomene der menschlichen visuellen, auditiven und audiovisuellen Wahrnehmung kennen und werden in die Lage versetzt, diese in einfachen Modellen und Kennziffern zu beschreiben.

Durch das Beobachten der in der Vorlesung präsentierten Versuche einschließlich einiger Selbstversuche erfahren die Studierenden unmittelbar sinnlich die Eigenschaften und Beschränkungen menschlicher Wahrnehmung. Durch die dazu vermittelten Inhalte können sie die beobachteten Effekte zu den entsprechenden Modellen und Kennziffern in Beziehung setzen.

Medientechnische Systeme und Medienprodukte zielen in der Regel darauf, dem menschlichen Betrachter Inhalte zu präsentieren, die dieser audiovisuell aufnimmt. Die gesamte Produktionskette muss daher die Eigenschaften und Beschränkungen der menschlichen Wahrnehmung berücksichtigen, damit die Präsentation einerseits dem natürlichen Erleben nahe kommt und andererseits der technischer Aufwand auf das Wahrnehmbare beschränkt wird. Die Veranstaltung vermittelt hierzu die nötigen Grundkenntnisse.";visuelle_und_auditive_wahrnehmung.jpg;3;AVW;Visuelle und auditive Wahrnehmung;Pflichtfach;Rest;wöchentliche Tests;1;1;Wintersemester;\N;\N
6;Die Studierenden werden befähigt für ihren weiteren Studienverlauf immer wieder begründete Entscheidungen für ihr Lernverhalten zu treffen. Die Entscheidungen basieren auf eigenen Lernerfahrungen sowie auf Lernstrategien im Studium, Methoden des Zeitmanagements, Feedback des Lernverhaltens und dem Kompetenzmodell der TH Köln für Studium und Lehre (KomM).;platzhalter1.png;1;SMM;Selbstmanagement im Studium;Pflichtfach;Rest;schriftliche Abgaben;1;1;Wintersemester;\N;\N
7;"Studierende sind in der Lage, Aufgabenstellungen aus den Bereichen der Linearen Algebra, der komplexen Zahlen, der mehrdimensionalen Differential- und Integralrechnung und der gewöhnlichen Differentialgleichungen, einschließlich solcher, die aus einem realweltlichen Bezug entnommen sind, zu lösen.

In der Vorlesung werden die benötigten mathematischen Inhalte vorgestellt. In den Übungen werden die Studierenden angehalten, diese Inhalte auf die gegebenen Aufgaben anzuwenden.

Studierende sind damit in der Lage, in berufspraktischen ingenieurmäßigen Fragestellungen die entsprechenden mathematischen Fragestellungen zu erkennen und diese mit den vermittelten Methoden zu bearbeiten.";mathe2.jpg;10;MA2;Mathematik 2;Pflichtfach;Mathematik;schriftliche Klausur;2;2;Sommersemester;\N;\N
8;"Das Modul vermittelt folgende Kenntnisse und Fertigkeiten:

Erklären von fortgeschrittenen Methoden der Objektorientierung
Erklären der grundlegenden dynamischen Datenstrukturen
Erklären von grundlegenden Algorithmen der Informatik
Erstellen von objektorientierten Programmen
Entwerfen von objekt-orientierten Modellen zu einer gegebenen Problemstellung und Umsetzen in einer Programmiersprache
Verwenden von dynamischen Datenstrukturen in einer Programmiersprache
Entwerfen von dynamischen Datenstrukturen
Implementieren von dynamischen Datenstrukturen in einer Programmiersprache
Bestimmen der Komplexität von Algorithmen
Lösen einer Problemstellung mittels geeigneter Algorithmen
Implementieren von Algorithmen in einer Programmiersprache
Die Kompetenzen werden zunächst über eine Vorlesung durch den Dozenten vermittelt und danach in praktischen Übungen von den Studierenden vertieft. Die sichere Anwendung einer Programmiersprache ist grundlegende Voraussetzung für die Entwicklug medientechnischer Systeme und erlaubt die Bewertung bestehender Systeme.";info2.jpg;6;INF2;Informatik 2;Pflichtfach;Informatik;schriftliche Klauur;2;4;Sommersemester;\N;\N
9;"Das Modul vermittelt die Grundlagen der Photometrie, die aktuellen technischen Konzepte zur Strahlungserzeugung und zum Strahlungsempfang sowie der Beleuchtungstechnik. Die Studierenden lernen die Phänomene zu verstehen und anschaulich zu erklären und formelmäßig mathematisch umzusetzen. Die Leistungsfähigkeit fotografischer Systeme wird dabei in Bezug zu den Anforderungen des menschlichen Auges gesetzt.

Durch Vorlesung und Übung werden die theoretischen Kenntnisse vermittelt und in Zusammenhang zur Bildentstehung in der Digitalfotografie gebracht. Die Übung analysiert beispielhafte Anordnungen und Vorgänge, modelliert diese als physikalische Formeln oder Skizzen und berechnet bzw. konstruiert gegebene Fragestellungen.

Sowohl die formelmäßige Modellierung und Berechnung als auch die graphische Darstellung und Diskussion technischer Zusammenhänge sind Basiskompetenzen im Ingenieurberuf. Zur erfolgreichen Zusammenarbeit in Teams werden ihre Darstellung und Visualisierung gefordert. Die Grundlagen fotografischer Systeme sind ein wesentlicher Bestandteil medientechnischer Systeme.";photo2.jpg;5;PHO2;Phototechnik 2;Pflichtfach;Phototechnik;schriftliche Klausur;2;4;Sommersemester;\N;Michael M. Schuff
10;"Durch das Modul lernen die Studierenden grundlegende Phänomene der Audiotechnik und Videotechnik kennen und werden in die Lage versetzt, diese in einfachen Modellen und Kennziffern zu beschreiben.

Durch die Erläuterung der physikalischen Grundlagen und der Bezug auf die medientschnischen Audio- und Videokomponenten erlernen die Studierenden wesentliche Aspekte, die sie befähigen solche Systeme zu verstehen, zu analysieren und in der Anwendung zu optimieren. Darüber hinaus lernen die Studierenden, die technischen Kennwerte von medientechnischen Systeme kennen und einzuordnen.

Medientechnische Systeme und Medienprodukte zielen in der Regel darauf, Inhalte zu präsentieren, die dieser audiovisuell aufnimmt. Für das Verständnis müssen die Studierenden jedoch die physikalischen Grundregeln und die Konzepte kennenlernen. Die gesamte Produktionskette und die einzelenen Aspekte müssen daher berücksichtigen und einbezogen werden, damit die Präsentation einerseits dem natürlichen Erleben nahe kommt und andererseits der technischer Aufwand auf das wesentliche beschränkt wird. Die Veranstaltung vermittelt hierzu die nötigen Grundkenntnisse.";platzhalter2.png;5;EM1;Elektronische Medien 1;Pflichtfach;Elektronik;schriftliche Klausur;2;2;Sommersemester;\N;\N
11;"Die Studierenden lernen die allgemeinen Gestaltungsgrundlagen im Bereich Mediendesign kennen und wenden diese an. Dabei werden Sie fachlich in die Lage versetzt, Gestaltungsfaktoren im Bereich Bildgestaltung zu analysieren und zu identifizieren. Sie lernen die Grundlagen der technischen und gestalterischen Studiofotografie und von Bewegtbildern/Video kennen und wenden dann diese in der Lichtgestaltung und der Perspektive für Foto und Video an.

Die in der Vorlesung vermittelten Gestaltungstheorien werden in praktischen Aufgaben/Übungen angewendet. Zudem wird die Handhabung der Kamera im Foto- und Videobereich bezogen auf Gestaltungsmöglichkeiten und Grundlagen der Gestaltung mit Hilfe themenbezogener Aufgaben auch innerhalb des Praktikums zu bestimmten Themen gelernt und angewandt.

Die Studierenden sind damit in der Lage Medieninhalte und Medienprodukte zu erstellen und zu gestalten und haben dabei Medienproduktionsprozesse und -systeme kennengelernt und entworfen.Sie werden auf Gestaltungsmöglichkeiten aufmerksam gemacht durch experimentelles Vorgehen am Beispiel von konkreten Aufgaben und Themen mit Erweiterung der sprachlichen Ausdrucksfähigkeit im Gestaltungsbereich.";grundlagen_der_gestaltung_von_medien1.jpg;4;GGM1;Grundlagen der Gestaltung von Medien 1;Pflichtfach;Mediengestaltung;Abgaben;2;4;Sommersemester;\N;Michael M. Schuff
12;"Die Studierenden lernen die mahtematische Beschreibung linearer Systeme (analog/diskret, nichtperiodisch/periodisch) kennen und können sie auf realweltliche Probleme anwenden. Außerdem werden die Grundlagen der Wahrscheinlichkeitsrechnung und der mathematischen Statistik, einschließlich der mathematischen Beschreibung von Rauschen vermittelt.

Bei der Beschreibung medientechnischer Systeme wird immer wieder auf die Konzepte der linaren Systemtheorie zurückgegriffen. Dies geschieht an verschiedenen Stellen mit unterschiedlichen Interpretationen der betrachteten Größen (elektrische Signale einschließlich Funksignalen, Akustik, Wellenoptik, Bild- und Audioverarbeitung). Bei Wahrscheinlichkeitsrechnung und mathematischer Statistik handelt es sich um Werkzeuge, die überall zum Einsatz kommen müssen, wo Erkenntnis aus empirischen Daten gewonnen wird.";platzhalter3.png;7;SIGA;Signaltheorie und Angewandte Mathematik;Pflichtfach;Mathematik;schriftliche Klausur;3;5;Wintersemester;\N;Michael M. Schuff
