id;beschreibung;bild;ects;module_abkürzung;module_name;module_typ;oberkategorie;prüfungsart;regelstudienzeitsieben;regelstudienzeitzwölf;verfügbarkeit;vertiefung;bildrechte
1;\N;mathe1.jpg;10;MA1;Mathematik 1;Pflichtfach;Mathematik;schriftliche Klausur;1;1;Wintersemester;\N;\N
2;\N;info1.jpg;6;INF1;Informatik 1;Pflichtfach;Informatik;schriftliche Klauur;1;3;Wintersemester;\N;\N
3;\N;photo1.jpg;5;PHO1;Phototechnik 1;Pflichtfach;Phototechnik;schriftliche Klausur;1;3;Wintersemester;\N;Michael M. Schuff
4;\N;elektronik.jgp;5;ELE;Elektronik;Pflichtfach;Elektronik;schriftliche Klausur;1;1;Wintersemester;\N;\N
5;\N;visuelle_und_auditive_wahrnehmung.jpg;3;AVW;Visuelle und auditive Wahrnehmung;Pflichtfach;Rest;wöchentliche Tests;1;1;Wintersemester;\N;\N
6;\N;platzhalter1.png;1;SMM;Selbstmanagement im Studium;Pflichtfach;Rest;schriftliche Abgaben;1;1;Wintersemester;\N;\N
7;\N;mathe2.jpg;10;MA2;Mathematik 2;Pflichtfach;Mathematik;schriftliche Klausur;2;2;Sommersemester;\N;\N
8;\N;info2.jpg;6;INF2;Informatik 2;Pflichtfach;Informatik;schriftliche Klauur;2;4;Sommersemester;\N;\N
9;\N;photo2.jpg;5;PHO2;Phototechnik 2;Pflichtfach;Phototechnik;schriftliche Klausur;2;4;Sommersemester;\N;Michael M. Schuff
10;\N;platzhalter2.png;5;EM1;Elektronische Medien 1;Pflichtfach;Elektronik;schriftliche Klausur;2;2;Sommersemester;\N;\N
11;\N;grundlagen_der_gestaltung_von_medien1.jpg;4;GGM1;Grundlagen der Gestaltung von Medien 1;Pflichtfach;Mediengestaltung;Abgaben;2;4;Sommersemester;\N;Michael M. Schuff
12;\N;platzhalter3.png;7;SIGA;Signaltheorie und Angewandte Mathematik;Pflichtfach;Mathematik;schriftliche Klausur;3;5;Wintersemester;\N;Michael M. Schuff
13;\N;info3.jpg;7;INF3;Informatik 3;Pflichtfach;Informatik;schriftliche Klauur;3;7;Wintersemester;\N;Michael M. Schuff
14;\N;photo3.jpg;6;PHO3;Phototechnik 3;Pflichtfach;Phototechnik;schriftliche Klausur;3;5;Wintersemester;\N;Michael M. Schuff
15;\N;grundlagen_der_gestaltung_von_medien2.jpg;5;EM2;Elektronische Medien 2;Pflichtfach;Elektronik;schriftliche Klausur;3;3;Wintersemester;\N;\N
16;\N;platzhalter1.png;5;GGM2;Grundlagen der Gestaltung von Medien 2;Pflichtfach;Mediengestaltung;Abgabe;3;5;Wintersemester;\N;Michael M. Schuff
17;\N;platzhalter2.png;5;MEG;Medienethik und Gesellschaft;Pflichtfach;Geisteswissenschaft;Abgabe;4;6;Sommersemester;\N;\N
18;\N;platzhalter3.png;2;IDP;Interdisziplinäres Projekt;Pflichtfach;Geisteswissenschaft;Abgabe;4;6;Sommersemester;\N;\N
19;\N;recht.jpg;3;REC;Medienrecht;Pflichtfach;Recht;schriftliche Klausur;4;9;Sommersemester;\N;\N
20;\N;bildverarbeitung.jpg;5;BV1;Bildverarbeitung;Vertiefungsfach;Bildverarbeitung;mündliche Prüfung;4;\N;Sommersemester;Bildverarbeitung;\N
21;\N;webengineering1.jpg;5;WEB1;Webengineering 1;Vertiefungsfach;Webengineering;schriftliche Klausur;4;\N;Sommersemester;Webengineering;Michael M. Schuff
22;\N;computergrafik.jpg;5;CG;Computergrafik;Vertiefungsfach;Interaktive Computergrafik;schriftliche Klausur;4;\N;Sommersemester;Interaktive Computergrafik;Michael M. Schuff
23;\N;gestaltung.jpg;5;GM1;Vertiefende Methoden und Theorien der Gestaltung;Vertiefungsfach;Gestaltung von Medien;Abgabe;4;\N;Sommersemester;Gestaltung von Medien;Michael M. Schuff
24;\N;bildsenortechnik.jpg;5;KAT1;Bildsensortechnik;Vertiefungsfach;Kameratechnik;schriftliche Klausur;4;\N;Sommersemester;Kameratechnik;Michael M. Schuff
25;\N;displaytechnik.jpg;5;DIS;Displaytechnik;Vertiefungsfach;Mediendistribution und -wiedergabe;schriftliche Klausur;4;\N;Sommersemester;Mediendistribution und -wiedergabe;Michael M. Schuff
26;\N;tonstudiotechnik.jpg;5;TST;Tonstudiottechnik;Vertiefungsfach;Produktionstechnik audiovisueller Medien;mündliche Prüfung;4;\N;Sommersemester;Produktionstechnik audiovisueller Medien;Michael M. Schuff
